Mois,Libellé mois,Année,Numéro mois,Trimestre,Ordre mois
2025-01-01,janv. 2025,2025,1,T1 2025,202501
2025-02-01,févr. 2025,2025,2,T1 2025,202502
2025-03-01,mars 2025,2025,3,T1 2025,202503
2025-04-01,avr. 2025,2025,4,T2 2025,202504
2025-05-01,mai 2025,2025,5,T2 2025,202505
2025-06-01,juin 2025,2025,6,T2 2025,202506
2025-07-01,juil. 2025,2025,7,T3 2025,202507
2025-08-01,août 2025,2025,8,T3 2025,202508
2025-09-01,sept. 2025,2025,9,T3 2025,202509
2025-10-01,oct. 2025,2025,10,T4 2025,202510
2025-11-01,nov. 2025,2025,11,T4 2025,202511
2025-12-01,déc. 2025,2025,12,T4 2025,202512
2026-01-01,janv. 2026,2026,1,T1 2026,202601
2026-02-01,févr. 2026,2026,2,T1 2026,202602
2026-03-01,mars 2026,2026,3,T1 2026,202603
2026-04-01,avr. 2026,2026,4,T2 2026,202604
2026-05-01,mai 2026,2026,5,T2 2026,202605
2026-06-01,juin 2026,2026,6,T2 2026,202606
