Id compte,Mois,Client actif,Opérations client,Paiements carte,Paiements refusés,Dépenses carte,Dépôts
58,2025-01-01,1,42,13,0,389.06,2704.94
20,2025-01-01,1,4,0,0,0.0,0.0
35,2025-01-01,1,2,0,0,0.0,0.0
66,2025-01-01,1,18,4,1,75.45,800.0
73,2025-01-01,1,13,3,0,62.67,783.0
41,2025-01-01,1,4,0,0,0.0,0.0
44,2025-01-01,1,7,0,0,0.0,204.0
24,2025-01-01,1,5,1,0,6.69,686.0
61,2025-01-01,1,11,1,0,21.92,59.0
52,2025-01-01,1,4,2,0,37.83,39.0
71,2025-01-01,1,11,5,3,101.93,94.0
32,2025-01-01,1,16,2,9,53.84,152.0
56,2025-01-01,1,20,1,0,19.29,5193.0
23,2025-01-01,0,0,0,0,0.0,0.0
6,2025-01-01,1,16,3,0,107.04,113.0
62,2025-01-01,1,19,9,0,414.15,322.0
34,2025-01-01,1,17,5,0,102.9,203.0
10,2025-01-01,1,13,2,0,31.67,215.0
9,2025-01-01,1,24,6,3,160.49,137.0
49,2025-01-01,0,0,0,0,0.0,0.0
39,2025-01-01,1,11,5,0,82.18,204.0
13,2025-01-01,1,18,7,8,274.65,303.0
38,2025-01-01,1,14,6,0,344.81,684.0
47,2025-01-01,1,10,4,0,132.88,225.0
37,2025-01-01,1,4,2,0,23.03,160.0
33,2025-01-01,1,3,1,1,35.62,71.0
75,2025-01-01,1,8,4,3,281.93,284.0
12,2025-01-01,1,14,8,2,266.49,326.0
46,2025-01-01,0,0,0,0,0.0,0.0
11,2025-01-01,1,8,6,2,185.64,219.0
4,2025-01-01,1,4,0,0,0.0,415.0
26,2025-01-01,1,4,0,0,0.0,0.0
72,2025-01-01,1,5,1,0,10.04,549.0
74,2025-01-01,1,3,1,0,85.87,50.0
21,2025-01-01,1,15,5,3,159.08,336.0
65,2025-01-01,1,8,2,1,86.56,219.0
69,2025-01-01,1,2,0,0,0.0,0.0
29,2025-01-01,1,7,1,1,18.14,82.0
7,2025-01-01,1,6,2,1,78.3,124.0
63,2025-01-01,1,3,1,0,6.81,78.0
43,2025-01-01,1,7,1,1,24.86,34.0
48,2025-01-01,1,13,0,0,0.0,528.0
14,2025-01-01,1,5,3,0,51.07,84.0
31,2025-01-01,1,7,3,0,110.18,330.0
64,2025-01-01,1,2,0,0,0.0,0.0
27,2025-01-01,0,0,0,0,0.0,0.0
3,2025-01-01,1,2,0,0,0.0,241.0
60,2025-01-01,1,2,0,0,0.0,270.0
25,2025-01-01,0,0,0,0,0.0,0.0
8,2025-01-01,1,6,2,0,93.46,171.0
40,2025-01-01,1,11,5,0,131.05,454.0
18,2025-01-01,1,5,3,0,110.25,119.0
68,2025-01-01,1,7,1,0,44.53,138.0
36,2025-01-01,1,6,1,0,36.27,293.0
59,2025-01-01,1,2,0,0,0.0,0.0
42,2025-01-01,0,0,0,0,0.0,0.0
54,2025-01-01,1,2,0,0,0.0,339.0
28,2025-01-01,1,5,3,0,80.01,117.0
19,2025-01-01,1,2,0,0,0.0,174.0
1,2025-01-01,1,2,0,0,0.0,440.0
50,2025-01-01,1,2,0,0,0.0,60.0
55,2025-01-01,1,2,0,0,0.0,81.0
67,2025-01-01,1,2,0,0,0.0,28.0
30,2025-01-01,1,6,1,0,27.87,182.0
17,2025-01-01,0,0,0,0,0.0,0.0
45,2025-01-01,1,3,1,0,7.87,130.0
22,2025-01-01,0,0,0,0,0.0,0.0
15,2025-01-01,0,0,0,0,0.0,0.0
70,2025-01-01,0,0,0,0,0.0,0.0
83,2025-02-01,1,17,2,7,41.93,65.0
18,2025-02-01,1,19,10,0,325.54,1631.54
31,2025-02-01,1,30,13,0,837.89,2600.85
13,2025-02-01,1,27,14,3,781.92,2207.98
6,2025-02-01,1,40,13,0,794.68,2752.07
12,2025-02-01,1,28,14,0,529.98,2599.52
66,2025-02-01,1,38,12,1,516.05,1617.68
9,2025-02-01,1,19,8,0,298.22,1494.38
32,2025-02-01,1,30,15,0,675.48,2444.12
62,2025-02-01,1,23,12,0,388.0,2203.82
