Mois,Code canal,Catégorie,Type de dépense,Paiements,Montant
2025-01-01,MOBILE,Alimentation,Essentielle,27,1146.23
2025-01-01,WEB,Alimentation,Essentielle,12,517.59
2025-01-01,PARTNER,Alimentation,Essentielle,1,10.1
2025-02-01,PARTNER,Alimentation,Essentielle,12,452.55
2025-02-01,MOBILE,Alimentation,Essentielle,119,4890.82
2025-02-01,WEB,Alimentation,Essentielle,49,2242.26
2025-03-01,MOBILE,Alimentation,Essentielle,208,8287.72
2025-03-01,PARTNER,Alimentation,Essentielle,17,570.31
2025-03-01,WEB,Alimentation,Essentielle,76,2705.68
2025-04-01,MOBILE,Alimentation,Essentielle,323,14184.74
2025-04-01,WEB,Alimentation,Essentielle,130,5986.07
2025-04-01,PARTNER,Alimentation,Essentielle,39,1984.85
2025-05-01,MOBILE,Alimentation,Essentielle,422,18668.6
2025-05-01,WEB,Alimentation,Essentielle,156,6729.15
2025-05-01,PARTNER,Alimentation,Essentielle,52,3065.01
2025-06-01,WEB,Alimentation,Essentielle,223,10641.67
2025-06-01,PARTNER,Alimentation,Essentielle,57,2373.14
2025-06-01,MOBILE,Alimentation,Essentielle,539,23402.2
2025-07-01,WEB,Alimentation,Essentielle,311,13622.66
2025-07-01,MOBILE,Alimentation,Essentielle,639,28464.32
2025-07-01,PARTNER,Alimentation,Essentielle,78,3237.68
2025-08-01,MOBILE,Alimentation,Essentielle,751,34279.64
2025-08-01,PARTNER,Alimentation,Essentielle,75,2915.79
2025-08-01,WEB,Alimentation,Essentielle,341,15808.9
2025-09-01,MOBILE,Alimentation,Essentielle,871,39070.36
2025-09-01,WEB,Alimentation,Essentielle,482,20666.91
2025-09-01,PARTNER,Alimentation,Essentielle,86,4185.89
2025-10-01,WEB,Alimentation,Essentielle,567,25545.5
2025-10-01,MOBILE,Alimentation,Essentielle,1135,52193.59
2025-10-01,PARTNER,Alimentation,Essentielle,114,5081.68
2025-11-01,WEB,Alimentation,Essentielle,697,32149.59
2025-11-01,MOBILE,Alimentation,Essentielle,1402,62002.99
2025-11-01,PARTNER,Alimentation,Essentielle,145,6607.74
2025-12-01,MOBILE,Alimentation,Essentielle,1564,69186.13
2025-12-01,WEB,Alimentation,Essentielle,807,35497.34
2025-12-01,PARTNER,Alimentation,Essentielle,191,8319.74
2026-01-01,MOBILE,Alimentation,Essentielle,1323,58769.37
2026-01-01,WEB,Alimentation,Essentielle,772,34592.35
2026-01-01,PARTNER,Alimentation,Essentielle,143,5584.03
2026-02-01,WEB,Alimentation,Essentielle,782,36625.76
2026-02-01,MOBILE,Alimentation,Essentielle,1433,66135.34
