Mois,Code canal,Type opération,Résultat,Motif échec,Type et motif,Tentatives,Montant demandé
2025-01-01,MOBILE,Ouverture de compte,Réussite,Aucun,Ouverture de compte,42,0.0
2025-01-01,PARTNER,Ouverture de compte,Réussite,Aucun,Ouverture de compte,7,0.0
2025-01-01,MOBILE,Connexion,Réussite,Aucun,Connexion,126,0.0
2025-01-01,MOBILE,Dépôt,Réussite,Aucun,Dépôt,46,16646.94
2025-01-01,MOBILE,Consultation du solde,Réussite,Aucun,Consultation du solde,62,0.0
2025-01-01,PARTNER,Connexion,Réussite,Aucun,Connexion,10,0.0
2025-01-01,PARTNER,Consultation du solde,Réussite,Aucun,Consultation du solde,5,0.0
2025-01-01,MOBILE,Paiement carte,Réussite,Aucun,Paiement carte,93,3108.04
2025-01-01,MOBILE,Retrait,Réussite,Aucun,Retrait,10,1267.0
2025-01-01,MOBILE,Dépôt,Échec,montant invalide,Dépôt : montant invalide,1,0.0
2025-01-01,MOBILE,Virement,Réussite,Aucun,Virement,15,1690.0
2025-01-01,MOBILE,Virement,Échec,solde insuffisant,Virement : solde insuffisant,7,289.0
2025-01-01,WEB,Ouverture de compte,Réussite,Aucun,Ouverture de compte,20,0.0
2025-01-01,MOBILE,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,4,0.0
2025-01-01,MOBILE,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,30,1772.08
2025-01-01,PARTNER,Dépôt,Réussite,Aucun,Dépôt,3,314.0
2025-01-01,WEB,Connexion,Réussite,Aucun,Connexion,40,0.0
2025-01-01,WEB,Dépôt,Réussite,Aucun,Dépôt,17,3286.0
2025-01-01,WEB,Paiement carte,Réussite,Aucun,Paiement carte,37,1009.76
2025-01-01,WEB,Consultation du solde,Réussite,Aucun,Consultation du solde,15,0.0
2025-01-01,PARTNER,Paiement carte,Réussite,Aucun,Paiement carte,7,256.58
2025-01-01,UNKNOWN,Connexion,Échec,numéro de carte invalide,Connexion : numéro de carte invalide,5,0.0
2025-01-01,WEB,Virement,Réussite,Aucun,Virement,6,221.0
2025-01-01,MOBILE,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,2,20.0
2025-01-01,WEB,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,9,516.29
2025-01-01,PARTNER,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,1,0.0
2025-01-01,PARTNER,Retrait,Réussite,Aucun,Retrait,1,19.0
2025-01-01,WEB,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,1,0.0
2025-01-01,WEB,Virement,Échec,solde insuffisant,Virement : solde insuffisant,3,142.0
2025-01-01,PARTNER,Virement,Réussite,Aucun,Virement,1,18.0
2025-01-01,WEB,Retrait,Réussite,Aucun,Retrait,1,18.0
2025-02-01,MOBILE,Ouverture de compte,Réussite,Aucun,Ouverture de compte,33,0.0
2025-02-01,MOBILE,Dépôt,Réussite,Aucun,Dépôt,72,57861.52
2025-02-01,MOBILE,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,68,4152.15
2025-02-01,WEB,Dépôt,Réussite,Aucun,Dépôt,38,25111.24
2025-02-01,MOBILE,Connexion,Réussite,Aucun,Connexion,258,0.0
2025-02-01,MOBILE,Consultation du solde,Réussite,Aucun,Consultation du solde,151,0.0
2025-02-01,MOBILE,Virement,Réussite,Aucun,Virement,44,9566.0
2025-02-01,MOBILE,Paiement carte,Réussite,Aucun,Paiement carte,377,14201.62
2025-02-01,PARTNER,Paiement carte,Réussite,Aucun,Paiement carte,28,896.49
2025-02-01,PARTNER,Connexion,Réussite,Aucun,Connexion,26,0.0
2025-02-01,PARTNER,Consultation du solde,Réussite,Aucun,Consultation du solde,19,0.0
2025-02-01,WEB,Ouverture de compte,Réussite,Aucun,Ouverture de compte,14,0.0
2025-02-01,WEB,Paiement carte,Réussite,Aucun,Paiement carte,162,6702.16
2025-02-01,MOBILE,Virement,Échec,solde insuffisant,Virement : solde insuffisant,9,707.0
2025-02-01,WEB,Connexion,Réussite,Aucun,Connexion,129,0.0
2025-02-01,WEB,Consultation du solde,Réussite,Aucun,Consultation du solde,83,0.0
2025-02-01,WEB,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,36,1995.68
2025-02-01,MOBILE,Dépôt,Échec,montant invalide,Dépôt : montant invalide,1,0.0
2025-02-01,MOBILE,Retrait,Réussite,Aucun,Retrait,35,16770.0
2025-02-01,MOBILE,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,10,0.0
2025-02-01,PARTNER,Dépôt,Réussite,Aucun,Dépôt,9,4548.44
2025-02-01,UNKNOWN,Connexion,Échec,numéro de carte invalide,Connexion : numéro de carte invalide,3,0.0
2025-02-01,PARTNER,Ouverture de compte,Réussite,Aucun,Ouverture de compte,8,0.0
2025-02-01,WEB,Retrait,Réussite,Aucun,Retrait,16,7212.0
2025-02-01,MOBILE,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,4,1582.0
2025-02-01,WEB,Virement,Réussite,Aucun,Virement,21,5675.0
2025-02-01,PARTNER,Virement,Réussite,Aucun,Virement,2,727.0
2025-02-01,PARTNER,Retrait,Réussite,Aucun,Retrait,3,248.0
2025-02-01,MOBILE,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,4,40.0
2025-02-01,PARTNER,Virement,Échec,solde insuffisant,Virement : solde insuffisant,1,324.0
2025-02-01,WEB,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,1,10.0
2025-02-01,WEB,Virement,Échec,solde insuffisant,Virement : solde insuffisant,3,2481.0
2025-02-01,PARTNER,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,6,223.68
2025-02-01,WEB,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,3,0.0
2025-03-01,WEB,Ouverture de compte,Réussite,Aucun,Ouverture de compte,21,0.0
2025-03-01,WEB,Dépôt,Réussite,Aucun,Dépôt,66,51090.1
2025-03-01,WEB,Paiement carte,Réussite,Aucun,Paiement carte,313,11591.31
2025-03-01,MOBILE,Dépôt,Réussite,Aucun,Dépôt,134,98838.57
2025-03-01,MOBILE,Connexion,Réussite,Aucun,Connexion,424,0.0
2025-03-01,MOBILE,Consultation du solde,Réussite,Aucun,Consultation du solde,270,0.0
2025-03-01,MOBILE,Paiement carte,Réussite,Aucun,Paiement carte,737,28392.92
2025-03-01,WEB,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,82,4822.3
2025-03-01,MOBILE,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,79,5353.29
2025-03-01,WEB,Connexion,Réussite,Aucun,Connexion,218,0.0
2025-03-01,WEB,Virement,Réussite,Aucun,Virement,39,12157.0
2025-03-01,MOBILE,Retrait,Réussite,Aucun,Retrait,76,35263.0
2025-03-01,WEB,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,12,0.0
2025-03-01,WEB,Consultation du solde,Réussite,Aucun,Consultation du solde,144,0.0
2025-03-01,MOBILE,Virement,Réussite,Aucun,Virement,70,22837.0
2025-03-01,PARTNER,Paiement carte,Réussite,Aucun,Paiement carte,59,2742.3
2025-03-01,PARTNER,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,18,1182.97
2025-03-01,MOBILE,Ouverture de compte,Réussite,Aucun,Ouverture de compte,35,0.0
2025-03-01,PARTNER,Ouverture de compte,Réussite,Aucun,Ouverture de compte,11,0.0
2025-03-01,PARTNER,Connexion,Réussite,Aucun,Connexion,54,0.0
2025-03-01,PARTNER,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,3,30.0
2025-03-01,MOBILE,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,15,0.0
2025-03-01,PARTNER,Dépôt,Réussite,Aucun,Dépôt,21,11375.07
2025-03-01,PARTNER,Consultation du solde,Réussite,Aucun,Consultation du solde,28,0.0
2025-03-01,WEB,Retrait,Réussite,Aucun,Retrait,23,15353.0
2025-03-01,UNKNOWN,Connexion,Échec,numéro de carte invalide,Connexion : numéro de carte invalide,18,0.0
2025-03-01,WEB,Virement,Échec,solde insuffisant,Virement : solde insuffisant,8,8262.0
2025-03-01,MOBILE,Virement,Échec,solde insuffisant,Virement : solde insuffisant,10,9703.0
2025-03-01,PARTNER,Retrait,Réussite,Aucun,Retrait,6,1471.0
2025-03-01,PARTNER,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,3,0.0
