Mois ouverture,Cohorte,Code canal,Mois depuis ouverture,Comptes actifs,Taille cohorte
2025-01-01,2025-01,MOBILE,0,35,42
2025-01-01,2025-01,PARTNER,0,6,7
2025-01-01,2025-01,WEB,0,18,20
2025-01-01,2025-01,MOBILE,1,36,42
2025-01-01,2025-01,PARTNER,1,4,7
2025-01-01,2025-01,WEB,1,18,20
2025-02-01,2025-02,MOBILE,0,29,33
2025-02-01,2025-02,WEB,0,12,14
2025-02-01,2025-02,PARTNER,0,3,8
2025-02-01,2025-02,WEB,1,11,14
2025-01-01,2025-01,WEB,2,17,20
2025-02-01,2025-02,MOBILE,1,32,33
2025-01-01,2025-01,MOBILE,2,35,42
2025-01-01,2025-01,PARTNER,2,3,7
2025-02-01,2025-02,PARTNER,1,6,8
2025-03-01,2025-03,MOBILE,0,30,35
2025-03-01,2025-03,WEB,0,19,21
2025-03-01,2025-03,PARTNER,0,8,11
2025-02-01,2025-02,WEB,2,11,14
2025-01-01,2025-01,MOBILE,3,35,42
2025-03-01,2025-03,MOBILE,1,32,35
2025-03-01,2025-03,WEB,1,19,21
2025-02-01,2025-02,MOBILE,2,30,33
2025-02-01,2025-02,PARTNER,2,5,8
2025-01-01,2025-01,WEB,3,17,20
2025-03-01,2025-03,PARTNER,1,9,11
2025-01-01,2025-01,PARTNER,3,2,7
2025-04-01,2025-04,WEB,0,14,21
2025-04-01,2025-04,MOBILE,0,37,44
2025-04-01,2025-04,PARTNER,0,5,9
2025-04-01,2025-04,MOBILE,1,41,44
2025-04-01,2025-04,WEB,1,17,21
2025-03-01,2025-03,MOBILE,2,30,35
2025-02-01,2025-02,MOBILE,3,28,33
2025-02-01,2025-02,WEB,3,11,14
2025-01-01,2025-01,MOBILE,4,35,42
2025-03-01,2025-03,WEB,2,19,21
2025-03-01,2025-03,PARTNER,2,8,11
2025-04-01,2025-04,PARTNER,1,7,9
2025-01-01,2025-01,WEB,4,17,20
2025-02-01,2025-02,PARTNER,3,5,8
2025-05-01,2025-05,MOBILE,0,45,53
2025-05-01,2025-05,WEB,0,23,28
2025-01-01,2025-01,PARTNER,4,3,7
2025-05-01,2025-05,PARTNER,0,4,7
2025-05-01,2025-05,MOBILE,1,50,53
2025-05-01,2025-05,WEB,1,26,28
2025-02-01,2025-02,WEB,4,12,14
2025-01-01,2025-01,MOBILE,5,35,42
2025-03-01,2025-03,WEB,3,18,21
2025-03-01,2025-03,PARTNER,3,8,11
2025-02-01,2025-02,MOBILE,4,29,33
2025-01-01,2025-01,WEB,5,16,20
2025-04-01,2025-04,MOBILE,2,40,44
2025-03-01,2025-03,MOBILE,3,28,35
2025-02-01,2025-02,PARTNER,4,5,8
2025-04-01,2025-04,WEB,2,16,21
2025-04-01,2025-04,PARTNER,2,6,9
2025-05-01,2025-05,PARTNER,1,4,7
2025-01-01,2025-01,PARTNER,5,2,7
2025-06-01,2025-06,MOBILE,0,41,47
2025-06-01,2025-06,WEB,0,19,22
2025-06-01,2025-06,PARTNER,0,3,5
2025-03-01,2025-03,MOBILE,4,27,35
2025-06-01,2025-06,MOBILE,1,42,47
2025-05-01,2025-05,WEB,2,25,28
2025-06-01,2025-06,WEB,1,21,22
2025-02-01,2025-02,MOBILE,5,28,33
2025-01-01,2025-01,MOBILE,6,32,42
2025-05-01,2025-05,MOBILE,2,50,53
2025-03-01,2025-03,PARTNER,4,7,11
2025-04-01,2025-04,WEB,3,15,21
2025-01-01,2025-01,WEB,6,15,20
2025-04-01,2025-04,MOBILE,3,41,44
2025-03-01,2025-03,WEB,4,16,21
2025-02-01,2025-02,WEB,5,11,14
2025-04-01,2025-04,PARTNER,3,6,9
2025-01-01,2025-01,PARTNER,6,2,7
2025-06-01,2025-06,PARTNER,1,3,5
2025-05-01,2025-05,PARTNER,2,4,7
2025-02-01,2025-02,PARTNER,5,5,8
2025-07-01,2025-07,WEB,0,27,30
2025-07-01,2025-07,MOBILE,0,49,56
2025-07-01,2025-07,PARTNER,0,5,6
2025-04-01,2025-04,MOBILE,4,40,44
2025-01-01,2025-01,WEB,7,14,20
2025-06-01,2025-06,WEB,2,20,22
2025-06-01,2025-06,MOBILE,2,40,47
2025-03-01,2025-03,MOBILE,5,26,35
2025-07-01,2025-07,MOBILE,1,49,56
2025-05-01,2025-05,MOBILE,3,48,53
2025-02-01,2025-02,MOBILE,6,28,33
2025-01-01,2025-01,MOBILE,7,31,42
2025-03-01,2025-03,PARTNER,5,8,11
2025-07-01,2025-07,WEB,1,27,30
2025-04-01,2025-04,PARTNER,4,5,9
2025-03-01,2025-03,WEB,5,17,21
2025-02-01,2025-02,PARTNER,6,5,8
2025-06-01,2025-06,PARTNER,2,3,5
2025-04-01,2025-04,WEB,4,15,21
2025-05-01,2025-05,WEB,3,24,28
2025-02-01,2025-02,WEB,6,10,14
2025-05-01,2025-05,PARTNER,3,4,7
2025-01-01,2025-01,PARTNER,7,2,7
2025-08-01,2025-08,MOBILE,0,49,54
2025-08-01,2025-08,WEB,0,22,24
2025-07-01,2025-07,PARTNER,1,4,6
2025-08-01,2025-08,PARTNER,0,4,6
2025-03-01,2025-03,MOBILE,6,25,35
2025-07-01,2025-07,MOBILE,2,43,56
2025-01-01,2025-01,WEB,8,13,20
2025-06-01,2025-06,WEB,3,20,22
2025-08-01,2025-08,WEB,1,21,24
2025-01-01,2025-01,MOBILE,8,34,42
2025-02-01,2025-02,WEB,7,9,14
2025-07-01,2025-07,WEB,2,27,30
2025-04-01,2025-04,MOBILE,5,38,44
