account_id,customer_id,signup_channel,age_band,last_activity_at,days_since_last_activity,balance_at_period_end,card_payments
866,10808,MOBILE,35-44,2026-04-29 07:43:12,62,12577.99,21.0
859,10801,MOBILE,35-44,2026-04-26 19:30:53,65,6370.83,39.0
572,10539,WEB,55+,2026-04-28 13:12:20,63,4912.64,10.0
249,10236,WEB,45-54,2026-04-16 19:25:58,75,4759.2,77.0
1500,11421,MOBILE,25-34,2026-05-11 07:12:53,50,4661.1,10.0
691,10646,WEB,Inconnu,2026-04-28 15:33:53,63,3715.15,50.0
811,10753,WEB,55+,2026-05-01 19:18:36,60,3709.11,34.0
820,10762,WEB,35-44,2026-04-11 18:50:26,80,3545.77,41.0
807,10749,WEB,35-44,2026-05-02 20:34:07,59,2167.64,56.0
47,10044,PARTNER,55+,2026-05-15 18:15:35,46,2083.38,235.0
1051,10988,MOBILE,35-44,2026-05-12 12:50:04,49,1596.12,94.0
1468,11392,MOBILE,35-44,2026-04-21 09:09:27,70,1578.27,1.0
1036,10974,WEB,55+,2026-05-07 22:43:27,54,1554.11,42.0
1006,10945,MOBILE,18-24,2026-04-04 13:01:36,87,1333.6,18.0
673,10629,MOBILE,18-24,2026-04-20 09:01:12,71,1041.23,85.0
912,10853,PARTNER,25-34,2026-04-20 18:50:30,71,981.72,34.0
1556,11476,MOBILE,35-44,2026-04-26 11:42:38,65,844.14,1.0
1283,11212,MOBILE,25-34,2026-04-11 12:25:00,80,841.79,10.0
779,10724,PARTNER,35-44,2026-04-16 13:56:33,75,757.39,31.0
1527,11448,MOBILE,25-34,2026-05-11 13:21:20,50,540.58,6.0
1406,11330,WEB,Inconnu,2026-04-07 13:43:42,84,523.1,15.0
772,10717,MOBILE,25-34,2026-04-16 16:47:10,75,425.01,18.0
827,10769,MOBILE,18-24,2026-04-10 17:11:26,81,396.61,85.0
1505,11426,MOBILE,18-24,2026-05-02 12:47:20,59,385.24,8.0
1399,11323,PARTNER,45-54,2026-04-25 13:12:18,66,340.84,11.0
1166,11099,PARTNER,25-34,2026-05-10 15:40:17,51,336.08,11.0
808,10750,MOBILE,18-24,2026-04-25 09:04:50,66,284.11,29.0
1118,11053,WEB,25-34,2026-04-27 13:08:30,64,282.57,20.0
1213,11144,WEB,55+,2026-04-28 11:25:32,63,191.62,9.0
1405,11329,MOBILE,45-54,2026-04-20 08:33:20,71,158.56,10.0
817,10759,MOBILE,35-44,2026-04-07 14:08:12,84,141.86,22.0
1138,11072,WEB,35-44,2026-05-07 17:22:54,54,69.05,13.0
1340,11266,MOBILE,18-24,2026-05-10 11:44:18,51,64.31,12.0
1401,11325,MOBILE,45-54,2026-04-02 21:29:03,89,25.43,4.0
1116,11051,PARTNER,18-24,2026-04-13 18:56:01,78,21.3,26.0
595,10559,WEB,55+,2026-04-22 12:31:01,69,20.34,118.0
778,10723,WEB,45-54,2026-05-06 15:15:29,55,11.64,44.0
1011,10949,MOBILE,25-34,2026-04-20 11:23:26,71,3.28,29.0
