account_id,segment,R,F,M,recency_days,frequency_180d,card_spend_180d,balance_at_period_end
1,Clients réguliers,4,3,3,8,59,804.96,33469.05
2,Clients réguliers,5,3,2,0,64,690.23,24658.84
3,Endormis,1,1,1,525,0,0.0,1783.0
4,Champions,5,4,4,1,91,1238.72,5153.96
5,Épargnants peu actifs,5,2,3,0,50,781.96,11257.81
6,Champions,5,4,5,1,163,3755.21,152.15
8,Champions,5,5,5,1,181,4938.9,3590.8
9,Champions,5,5,5,1,181,3444.25,8605.14
10,Occasionnels,5,2,3,6,53,1232.48,1870.19
11,Champions,5,5,5,2,210,4256.28,1775.23
12,Champions,5,5,4,0,174,2933.99,1703.23
13,Champions,5,5,4,0,183,3258.77,5216.9
14,Épargnants peu actifs,1,1,1,388,0,0.0,3641.65
15,Champions,5,5,5,1,179,3485.86,5501.59
16,Épargnants peu actifs,5,2,3,2,57,734.38,17004.41
17,Épargnants peu actifs,5,2,3,0,49,864.87,28466.48
18,Champions,5,5,5,2,190,3515.48,4810.93
19,Épargnants peu actifs,1,1,1,127,27,251.45,12937.6
21,Champions,5,5,5,0,183,4146.98,653.03
22,Champions,5,5,5,0,186,3553.04,1233.64
23,Clients réguliers,5,3,3,5,62,994.77,14157.4
24,Épargnants peu actifs,5,2,2,2,53,659.78,54568.36
28,Champions,5,5,5,3,173,3840.55,2762.93
29,Champions,5,4,4,4,93,1783.86,13474.28
30,Épargnants peu actifs,1,1,1,293,0,0.0,4022.47
31,Champions,5,5,5,0,173,4565.7,11477.44
32,Champions,5,5,5,0,198,4118.54,4004.13
34,Champions,5,5,5,0,196,4162.35,5880.13
36,Clients réguliers,5,3,3,0,60,1075.33,7907.16
37,Clients réguliers,5,4,3,3,88,1152.91,4170.43
38,Champions,5,5,5,5,183,3791.0,292.58
39,Endormis,1,1,1,339,0,0.0,1000.68
40,Champions,5,5,5,3,193,4063.69,10004.74
42,Champions,5,4,5,0,166,3897.91,2672.26
44,Clients réguliers,5,3,2,0,73,571.47,2946.0
45,Endormis,1,3,4,117,62,1463.86,5069.74
47,À risque,3,4,4,46,134,2171.06,2083.38
50,Clients réguliers,5,3,3,3,69,864.89,7440.2
51,Épargnants peu actifs,5,2,2,7,57,483.87,6604.8
53,Épargnants peu actifs,5,2,3,3,51,762.83,11363.03
55,Champions,5,4,4,1,106,1259.42,5923.16
56,Clients réguliers,5,3,2,0,61,647.03,7911.63
57,Clients réguliers,5,3,3,1,70,713.41,11956.68
58,Champions,5,5,5,0,181,3925.29,1541.42
60,Clients réguliers,5,3,3,6,78,1200.2,2476.73
61,Clients réguliers,5,3,3,0,84,1060.31,16372.33
62,Champions,5,4,4,0,148,2730.9,1438.33
63,Champions,5,4,4,2,154,3107.95,7141.7
66,Champions,5,5,5,0,186,3948.86,6615.46
67,Champions,5,5,5,3,208,5033.27,6.59
68,Champions,5,4,4,1,142,3061.62,7916.7
70,Champions,5,5,5,1,197,4112.97,931.18
71,Champions,5,5,5,2,199,3624.65,7434.62
72,Clients réguliers,5,4,3,0,95,1044.54,5263.38
74,Endormis,1,1,1,463,0,0.0,2091.13
75,Champions,5,5,4,0,176,3163.38,2723.45
76,Champions,5,5,5,0,178,4229.08,6079.04
78,Clients réguliers,5,3,3,2,66,899.88,2003.12
79,Champions,5,5,5,0,202,4181.71,2172.28
80,Endormis,1,1,1,324,0,0.0,227.48
81,Endormis,1,4,4,93,99,2026.33,597.53
82,Champions,5,5,5,1,176,3376.91,444.96
83,Champions,5,5,4,0,180,3199.25,2210.31
84,Épargnants peu actifs,1,1,2,135,21,459.19,17215.81
85,Épargnants peu actifs,1,1,1,448,0,0.0,16333.75
86,Épargnants peu actifs,1,1,1,331,0,0.0,3613.39
87,Champions,5,5,5,0,174,3531.23,4250.92
88,Champions,5,5,5,0,180,3451.41,4459.44
89,Épargnants peu actifs,5,2,2,4,42,561.74,9380.2
90,Endormis,1,1,1,358,0,0.0,200.51
92,Champions,5,4,4,1,87,1270.54,5884.56
93,Clients réguliers,5,3,4,1,83,1441.95,4397.77
94,Champions,5,5,5,1,187,3668.65,956.42
95,Clients réguliers,5,3,2,1,71,677.65,16053.92
96,Épargnants peu actifs,1,1,1,457,0,0.0,3729.66
97,Épargnants peu actifs,1,1,1,169,4,150.5,36415.66
98,Champions,5,5,5,1,179,4000.65,1205.99
99,Épargnants peu actifs,5,2,2,1,43,523.06,16528.0
100,Clients réguliers,5,3,3,3,74,771.17,2639.46
101,Clients réguliers,5,3,3,0,65,917.93,15212.86
102,Champions,5,4,4,2,166,2656.69,4180.89
103,Endormis,1,1,1,325,0,0.0,971.23
104,Épargnants peu actifs,1,2,4,144,40,1271.45,5153.77
105,Endormis,1,1,1,226,0,0.0,2317.47
107,Champions,5,4,5,4,160,3937.85,4107.87
108,Épargnants peu actifs,1,1,1,210,0,0.0,3198.46
110,Clients réguliers,5,3,2,3,81,613.51,13478.59
111,Champions,5,4,5,3,160,4208.43,2197.36
112,Clients réguliers,5,4,3,5,87,1204.28,13462.26
113,Épargnants peu actifs,1,1,1,262,0,0.0,7312.34
116,Épargnants peu actifs,4,2,2,12,40,700.35,42889.68
117,Champions,5,5,5,1,211,4319.92,2262.74
120,Champions,5,5,4,0,171,2376.04,1887.0
121,Clients réguliers,5,4,3,1,101,1067.41,8281.85
123,Champions,5,5,5,0,208,4822.58,3077.33
124,Champions,5,4,4,0,148,3210.93,5028.19
125,Champions,5,4,4,7,87,1459.46,7191.98
126,Champions,5,5,5,6,178,4790.11,17907.7
127,Clients réguliers,5,3,2,2,71,683.86,835.84
130,Clients réguliers,5,4,3,3,102,837.7,3217.79
132,Épargnants peu actifs,1,1,1,209,0,0.0,3164.21
133,Épargnants peu actifs,4,2,2,11,56,445.26,11100.26
134,Clients réguliers,5,3,3,1,61,1156.53,29309.34
135,Clients réguliers,5,3,4,0,59,1377.75,8413.67
136,Champions,5,5,5,0,188,3918.4,374.17
137,Endormis,1,1,1,380,0,0.0,2419.86
139,Épargnants peu actifs,3,2,2,32,41,620.98,11459.73
140,Champions,5,4,4,1,93,1240.9,1997.38
141,Champions,5,5,5,0,195,6334.66,424.46
143,Champions,5,5,5,0,206,4375.33,2295.56
144,Endormis,1,1,1,420,0,0.0,1902.29
145,Champions,5,5,5,0,199,3760.12,792.35
146,Épargnants peu actifs,1,1,1,249,0,0.0,4351.36
147,Clients réguliers,5,3,2,0,59,562.52,22748.41
148,Champions,5,4,4,0,89,1561.46,12040.71
149,Occasionnels,5,2,2,6,56,692.92,2201.91
150,Clients réguliers,5,3,1,3,67,230.92,31202.54
151,Champions,5,4,5,7,157,4583.27,6899.79
152,Champions,5,5,5,0,190,3819.35,2597.38
153,Endormis,1,1,1,426,0,0.0,268.15
154,Épargnants peu actifs,1,1,2,137,13,360.69,3437.61
155,Champions,5,5,5,3,209,3863.31,1916.17
156,Endormis,1,1,1,423,0,0.0,109.46
157,Clients réguliers,5,3,4,6,78,1669.72,2831.31
158,Champions,5,5,5,0,202,4618.79,1869.14
159,Champions,5,5,5,0,178,4844.72,1400.05
160,Champions,5,5,5,1,209,4321.85,500.07
161,Champions,5,4,5,2,169,3564.61,1344.34
163,Clients réguliers,5,3,2,0,73,341.71,23663.68
165,Épargnants peu actifs,5,2,1,1,41,219.76,6608.89
166,Épargnants peu actifs,1,1,1,307,0,0.0,12892.89
167,Champions,5,5,5,1,208,3804.0,1150.05
168,Endormis,1,1,1,350,0,0.0,1837.74
169,Clients réguliers,5,4,3,2,104,849.63,2023.14
170,Champions,5,4,5,3,166,4487.23,931.93
171,Endormis,1,1,1,382,0,0.0,937.74
173,Champions,5,4,4,1,85,1282.8,6664.77
174,Champions,5,5,5,1,188,4270.85,3598.81
175,Endormis,1,2,2,138,36,689.69,1847.22
177,Endormis,1,1,1,245,0,0.0,1395.86
178,Champions,5,5,5,0,178,5275.47,543.7
179,Champions,5,4,5,1,154,3602.87,1369.44
180,Champions,5,5,5,1,200,4344.44,1785.16
184,Champions,5,5,5,1,190,5044.05,682.95
187,Champions,5,4,5,2,164,4779.91,11972.23
188,Endormis,1,1,1,267,0,0.0,2317.31
189,Champions,5,5,5,2,180,4705.74,1682.68
190,Endormis,1,1,1,285,0,0.0,927.17
192,Clients réguliers,4,3,3,9,66,768.23,27274.28
193,Champions,5,4,4,3,92,1540.85,2260.53
194,Champions,5,5,5,0,209,3723.48,963.91
195,Épargnants peu actifs,5,2,3,1,53,779.01,12015.16
196,Clients réguliers,5,4,3,1,85,1068.22,1368.63
199,Clients réguliers,5,3,3,2,84,1064.59,19891.79
200,Épargnants peu actifs,1,1,1,396,0,0.0,4809.1
201,Clients réguliers,5,3,2,4,60,489.44,23425.89
202,Champions,5,5,5,1,189,4082.64,51.28
203,Clients réguliers,4,3,3,9,70,988.94,5864.98
204,Endormis,1,1,1,364,0,0.0,1991.72
205,Clients réguliers,5,3,3,0,78,976.71,3704.31
206,Endormis,1,1,1,366,0,0.0,1778.76
209,Champions,5,5,5,0,199,3403.08,510.4
210,Clients réguliers,5,3,3,1,61,750.05,1161.89
211,Champions,5,5,5,0,203,4919.4,897.08
212,Champions,5,5,5,1,183,3587.52,5673.35
214,Clients réguliers,5,3,3,3,76,918.62,9962.7
215,Endormis,1,1,1,332,0,0.0,2497.96
216,Épargnants peu actifs,1,1,1,283,0,0.0,6877.22
217,Champions,5,5,5,0,191,3989.32,1041.3
218,Champions,5,4,4,0,88,1276.73,3026.71
219,Clients réguliers,4,3,3,11,73,959.08,2344.61
220,Clients réguliers,5,4,3,0,103,968.77,2786.68
221,Clients réguliers,5,4,3,0,119,1097.92,2854.45
222,Clients réguliers,4,3,3,22,59,703.69,28898.5
223,Clients réguliers,5,4,3,1,88,1108.75,3794.28
224,Endormis,1,1,1,204,0,0.0,432.32
227,Champions,5,5,5,0,213,4234.75,194.17
228,Clients réguliers,5,3,3,0,79,919.56,6472.03
230,Champions,5,4,5,0,165,4128.08,1155.62
232,Endormis,1,1,2,156,24,538.58,2446.22
233,Endormis,1,1,1,322,0,0.0,1501.26
234,Champions,5,4,4,1,125,1323.47,264.13
235,Épargnants peu actifs,5,2,2,1,53,372.46,10301.25
236,Épargnants peu actifs,1,1,1,283,0,0.0,3280.87
238,Clients réguliers,5,3,3,0,81,1130.19,1069.03
239,Champions,5,5,5,0,176,3873.01,347.11
241,Champions,5,5,5,1,175,4828.01,2308.82
242,Champions,5,5,5,1,182,3822.38,1364.62
245,Clients réguliers,5,3,2,1,75,661.78,1146.43
247,Champions,5,4,4,2,93,1284.74,15688.37
248,Clients réguliers,5,3,3,4,72,942.14,8950.79
249,Épargnants peu actifs,2,2,2,75,58,564.2,4759.2
250,Clients réguliers,5,4,3,1,85,1048.16,3827.08
251,Champions,5,4,5,0,166,3954.58,3106.02
252,Clients réguliers,5,3,4,4,82,1358.49,3461.9
253,Clients réguliers,5,3,3,0,70,1111.75,694.66
255,Endormis,1,1,1,322,0,0.0,1467.54
256,Clients réguliers,5,3,4,0,84,1360.94,828.16
257,Clients réguliers,5,4,3,0,88,739.18,1030.82
258,Clients réguliers,5,3,3,3,77,867.02,5248.33
259,Champions,5,4,4,1,119,2190.98,2127.31
261,Endormis,1,1,1,263,0,0.0,1656.27
262,Champions,5,5,5,1,178,3984.89,3563.51
263,Champions,5,5,5,0,194,3544.81,1839.23
264,Clients réguliers,4,3,4,9,84,1289.39,3856.74
265,Champions,5,5,5,1,172,3560.22,234.02
266,Champions,5,4,4,0,153,3210.08,1600.56
267,Champions,5,5,4,1,202,2908.18,1992.57
268,Champions,5,4,4,5,93,1346.71,13495.39
269,Épargnants peu actifs,4,2,2,15,53,649.84,17897.01
271,Champions,5,5,5,1,175,3907.52,885.81
272,Endormis,1,1,1,192,0,0.0,638.36
273,Clients réguliers,5,3,3,4,78,794.68,27148.83
274,Champions,5,5,4,2,174,3246.63,1971.28
275,Clients réguliers,5,3,2,1,81,685.25,5741.02
276,Champions,5,5,4,0,196,2961.95,4345.32
277,Champions,5,5,5,0,171,3947.08,1123.48
278,Champions,5,5,5,0,184,4023.92,415.93
279,Champions,5,5,5,1,189,5458.02,3430.72
280,Champions,5,5,5,0,195,4358.72,182.81
282,Clients réguliers,5,3,2,3,70,576.78,1450.58
283,Champions,5,4,5,2,166,4301.29,2115.92
284,Clients réguliers,5,3,3,3,76,813.61,3379.54
285,Endormis,1,1,1,197,0,0.0,1386.11
286,Épargnants peu actifs,5,2,3,0,56,1181.2,10187.05
287,Champions,5,5,5,0,175,4112.14,998.45
288,Champions,5,5,5,1,173,3756.42,365.22
289,Champions,5,5,5,0,193,3773.07,12417.69
290,Endormis,1,1,1,321,0,0.0,94.95
291,Champions,5,5,5,3,191,4145.59,1064.49
292,Champions,5,5,5,2,203,3973.52,190.22
293,Champions,5,5,4,0,172,3089.38,488.52
295,Champions,5,5,4,3,171,3253.34,479.85
296,Clients réguliers,5,3,3,0,72,830.24,1135.46
297,Clients réguliers,5,3,2,6,60,530.04,12290.3
299,Champions,5,4,4,0,154,3258.9,2421.5
300,Épargnants peu actifs,5,2,2,5,54,576.47,16071.92
301,Clients réguliers,5,4,3,2,93,947.28,6806.82
304,Champions,5,4,4,1,97,1257.66,3065.59
305,Champions,5,5,5,1,184,3598.96,215.49
